dataset,model,seed,n_train,n_test,series_length,n_classes,total_time,peak_memory_mb,accuracy,f1_macro,f1_weighted,status,error_msg
MedicalImages,lr_classifier,42,381,760,99,10,0.023582833004184067,0.9011199999999917,0.5092105263157894,0.5198364735409507,0.5283571413563318,ok,
MedicalImages,rf_classifier,42,381,760,99,10,0.23944012499123346,19.857407999999992,0.6947368421052632,0.6041124502871253,0.6648888265029581,ok,
MedicalImages,dtw_1nn,42,381,760,99,10,6.912143000008655,0.0,0.7368421052631579,0.7435326381417837,0.7438007078882826,ok,
MelbournePedestrian,lr_classifier,42,1138,2319,24,10,0.020351500003016554,0.7372799999999984,0.901250539025442,0.8930807082237073,0.9011382431529501,ok,
MelbournePedestrian,rf_classifier,42,1138,2319,24,10,0.30590241600293666,2.53952000000001,0.9667960327727468,0.9657626911792884,0.9667205055851068,ok,
MelbournePedestrian,dtw_1nn,42,1138,2319,24,10,10.901516874990193,-47.18592000000001,0.8766709788702026,0.8723861450489698,0.8766377379261555,ok,
MiddlePhalanxOutlineCorrect,lr_classifier,42,600,291,80,2,0.006606708004255779,0.6717439999999897,0.5910652920962199,0.5887145622765657,0.5930954678495577,ok,
MiddlePhalanxOutlineCorrect,rf_classifier,42,600,291,80,2,0.3011445000011008,8.896512000000001,0.8144329896907216,0.8059041501976285,0.811636648873314,ok,
MiddlePhalanxOutlineCorrect,dtw_1nn,42,600,291,80,2,1.4083874999923864,0.0,0.697594501718213,0.6914698795180723,0.697594501718213,ok,
MiddlePhalanxOutlineAgeGroup,lr_classifier,42,400,154,80,3,0.010315874998923391,0.06553599999999449,0.5844155844155844,0.507990483443435,0.5792640669639766,ok,
MiddlePhalanxOutlineAgeGroup,rf_classifier,42,400,154,80,3,0.21733862500695977,5.619711999999993,0.564935064935065,0.4569869614512471,0.5418613062107961,ok,
MiddlePhalanxOutlineAgeGroup,dtw_1nn,42,400,154,80,3,0.4860059589991579,0.0,0.5,0.41100203084399745,0.4878985515508782,ok,
MiddlePhalanxTW,lr_classifier,42,399,154,80,6,0.015035165997687727,0.03276800000000435,0.5064935064935064,0.3984543616643445,0.5157078087063335,ok,
MiddlePhalanxTW,rf_classifier,42,399,154,80,6,0.22224170799017884,8.126464000000013,0.5714285714285714,0.4143327343006573,0.5587105197598954,ok,
MiddlePhalanxTW,dtw_1nn,42,399,154,80,6,0.4910116249957355,0.0,0.5064935064935064,0.3743748175660033,0.510660810412826,ok,
MixedShapesRegularTrain,lr_classifier,42,500,2425,1024,5,0.13519979199918453,0.44236799999998766,0.825979381443299,0.8271883078708306,0.8241043114920009,ok,
