dataset,model,seed,n_train,n_test,series_length,n_classes,fit_time,predict_time,total_time,peak_memory_mb,accuracy,f1_macro,f1_weighted,status,error_msg
BeetleFly,hydra,42,20,20,512,2,0.2496958749834448,0.0,0.250701041019056,11.354111999999986,0.9,0.898989898989899,0.898989898989899,ok,
BeetleFly,mrsqm,42,20,20,512,2,1.1225371659966186,0.0,1.1228956249833573,23.527423999999996,0.95,0.949874686716792,0.949874686716792,ok,
BirdChicken,hydra,42,20,20,512,2,0.2538247919874266,0.0,0.25486575000104494,0.0163839999999027,0.9,0.898989898989899,0.898989898989899,ok,
BirdChicken,mrsqm,42,20,20,512,2,1.1018878330069128,0.0,1.102281999978004,20.791296000000102,0.9,0.898989898989899,0.898989898989899,ok,
BME,hydra,42,30,150,128,3,0.21537591598462313,0.0,0.21628045800025575,43.286527999999976,1.0,1.0,1.0,ok,
BME,mrsqm,42,30,150,128,3,0.9279209170199465,0.0,0.9282317910110578,14.843903999999952,0.82,0.8238237288612016,0.8238237288612016,ok,
Car,hydra,42,60,60,577,4,0.6887364590074867,0.0,0.6898100420075934,88.63743999999997,0.9333333333333333,0.9333333333333333,0.9322222222222223,ok,
Car,mrsqm,42,60,60,577,4,2.7448555839946494,0.0,2.745240290998481,25.722880000000032,0.8333333333333334,0.8366034327009937,0.8352038542607648,ok,
CBF,hydra,42,30,900,128,3,1.1346140829846263,0.0,1.1355402080225758,443.4165760000001,0.9911111111111112,0.9911146057129357,0.9910999628390932,ok,
CBF,mrsqm,42,30,900,128,3,3.376471625000704,0.0,3.376738999999361,37.65043199999991,1.0,1.0,1.0,ok,
Chinatown,hydra,42,20,343,24,2,0.09093295800266787,0.0,0.09166116701089777,0.6225919999999405,0.9825072886297376,0.9784385214986171,0.9826711316014606,ok,
Chinatown,mrsqm,42,20,343,24,2,0.3833274169883225,0.0,0.3834902500093449,5.0462720000000445,0.9620991253644315,0.9531366593448171,0.9623978742317519,ok,
ChlorineConcentration,hydra,42,467,3840,166,3,8.095082000014372,0.0,8.096055709000211,2527.707136,0.7747395833333334,0.7335042722127398,0.7656484000455609,ok,
ChlorineConcentration,mrsqm,42,467,3840,166,3,20.293520667008124,0.0,20.293945832992904,-1186.5620480000002,0.7125,0.6639402425803563,0.7003750547945107,ok,
CinCECGTorso,hydra,42,40,1380,1639,4,25.84357674999046,0.0,25.84563112500473,4981.211136,0.994927536231884,0.9948987114395265,0.9949325745411756,ok,
CinCECGTorso,mrsqm,42,40,1380,1639,4,79.42546699999366,0.0,79.42591704099323,-6198.018048,0.9326086956521739,0.9329902328103803,0.9328168736707322,ok,
Coffee,hydra,42,28,28,286,2,0.2005675410036929,0.0,0.20335679198615253,34.127872000000025,1.0,1.0,1.0,ok,
Coffee,mrsqm,42,28,28,286,2,0.8517903750180267,0.0,0.8520224579842761,31.91603199999986,0.9642857142857143,0.9638709677419355,0.9641474654377881,ok,
Computers,hydra,42,250,250,720,2,3.1662636249966454,0.0,3.1674300830054563,501.9074559999999,0.712,0.7115384615384615,0.7115384615384616,ok,
Computers,mrsqm,42,250,250,720,2,12.991627666022396,0.0,12.992076375026954,95.61702400000013,0.764,0.7639660111055993,0.7639660111055991,ok,
CricketX,hydra,42,390,390,300,12,2.420353665977018,0.0,2.4213175830082037,166.70719999999983,0.8128205128205128,0.8137635758583562,0.8084028776395153,ok,
CricketX,mrsqm,42,390,390,300,12,7.947694499976933,0.0,7.9480514579918236,77.70931199999995,0.8025641025641026,0.8037124570295476,0.800636220214458,ok,
CricketY,hydra,42,390,390,300,12,2.3934728329768404,0.0,2.394450042018434,194.9859839999997,0.823076923076923,0.825695307994446,0.8233736003233526,ok,
CricketY,mrsqm,42,390,390,300,12,7.976770082983421,0.0,7.977186125004664,36.56908800000019,0.8256410256410256,0.8255280235374296,0.8242563176976683,ok,
CricketZ,hydra,42,390,390,300,12,2.3916076669993345,0.0,2.3926120420219377,0.32767999999987296,0.8,0.7861281400244713,0.7963029001522246,ok,
CricketZ,mrsqm,42,390,390,300,12,7.94603541700053,0.0,7.946391249977751,36.831232,0.823076923076923,0.8140960348017322,0.8224146919724254,ok,
Crop,hydra,42,7200,16800,46,24,19.189036833995488,0.0,19.189976458990714,1818.1816319999998,0.7358928571428571,0.728758985260488,0.7287589852604881,ok,
Crop,mrsqm,42,7200,16800,46,24,35.15267479099566,0.0,35.15344308299245,-504.67635199999995,0.723452380952381,0.7213465605518611,0.7213465605518611,ok,
DiatomSizeReduction,hydra,42,16,306,345,4,1.2247039169888012,0.0,1.2268733749806415,88.71936000000005,0.9477124183006536,0.9337479311329479,0.9467795436582144,ok,
DiatomSizeReduction,mrsqm,42,16,306,345,4,3.4723251670075115,0.0,3.472737957985373,-1965.7850879999999,0.8986928104575164,0.7922128824811066,0.8748197827325038,ok,
DistalPhalanxOutlineAgeGroup,hydra,42,400,139,80,3,0.47031129198148847,0.0,0.4715673339960631,74.82572800000003,0.7697841726618705,0.7692697768762677,0.7717432544836342,ok,
DistalPhalanxOutlineAgeGroup,mrsqm,42,400,139,80,3,1.5870715839846525,0.0,1.587322708015563,74.00652799999989,0.7266187050359713,0.7217999744411641,0.72850183753776,ok,
DistalPhalanxOutlineCorrect,hydra,42,600,276,80,2,0.7990327090083156,0.0,0.7999330419988837,150.35596800000008,0.75,0.7333333333333334,0.7444444444444445,ok,
