dataset,model,seed,n_train,n_test,series_length,n_classes,total_time,peak_memory_mb,accuracy,f1_macro,f1_weighted,status,error_msg,sequence_length
PigCVP,mps_hydra,42,104,208,2000,52,2.5032018329948187,46.79270399999996,0.9663461538461539,0.9653998778998779,0.9653998778998779,ok,,2400
PigArtPressure,mps_hydra,42,104,208,2000,52,2.4090954170096666,2.3101439999998092,0.9855769230769231,0.9848595848595849,0.9848595848595849,ok,,2400
PigAirwayPressure,mps_hydra,42,104,208,2000,52,2.4042489169805776,0.8683519999999589,0.7740384615384616,0.7636544011544012,0.7636544011544012,ok,,2400
HandOutlines,mps_hydra,42,1000,370,2709,2,16.107726208982058,-226.91840000000002,0.9486486486486486,0.9431574691732363,0.9481234053944788,ok,,2400
Rock,mps_hydra,42,20,50,2844,4,0.8412727499962784,13.123583999999937,0.92,0.9193970503181029,0.9202955465587044,ok,,2400
SmoothSubspace,cpu_optimised_hydra,42,150,150,15,3,0.04301145800855011,32.456703999999945,0.96,0.9599966663332999,0.9599966663332999,ok,,2400
MelbournePedestrian,cpu_optimised_hydra,42,1138,2319,24,10,0.8336692090088036,81.01888000000008,0.9379042690815006,0.9350745396910408,0.9378198958893149,ok,,2400
ItalyPowerDemand,cpu_optimised_hydra,42,67,1029,24,2,0.2128008330182638,0.03276800000003277,0.967930029154519,0.9679295445422993,0.967929908001464,ok,,2400
Chinatown,cpu_optimised_hydra,42,20,343,24,2,0.08058083298965357,8.470528000000058,0.9825072886297376,0.9784385214986171,0.9826711316014606,ok,,2400
Crop,cpu_optimised_hydra,42,7200,16800,46,24,14.357026667013997,2162.3767040000002,0.7358928571428571,0.728758985260488,0.7287589852604881,ok,,2400
SyntheticControl,cpu_optimised_hydra,42,300,300,60,6,0.3875991659879219,11.354111999999986,0.9633333333333334,0.9631591128634865,0.9631591128634863,ok,,2400
SwedishLeaf,cpu_optimised_hydra,42,500,625,128,15,1.6184159999829717,7.536639999999807,0.976,0.9761072240505483,0.9758371471811459,ok,,2400
InsectWingbeatSound,cpu_optimised_hydra,42,220,1980,256,11,1.9352708329970483,70.46758399999999,0.6540404040404041,0.6442568924846518,0.6442568924846518,ok,,2400
FaceFour,cpu_optimised_hydra,42,24,88,350,4,0.16932637497666292,0.2293760000002294,0.8522727272727273,0.8665487628902263,0.8464171330024987,ok,,2400
AllGestureWiimoteY,cpu_optimised_hydra,42,300,700,500,10,2.0315029580087867,42.15603199999987,0.7114285714285714,0.7088331336306866,0.7088331336306865,ok,,2400
UWaveGestureLibraryAll,cpu_optimised_hydra,42,896,3582,945,8,19.325771834002808,-1704.280064,0.9706867671691792,0.9704431819125272,0.9706139608666576,ok,,2400
PigCVP,cpu_optimised_hydra,42,104,208,2000,52,2.8901432499988005,33.783808000000136,0.9663461538461539,0.9653998778998779,0.9653998778998779,ok,,2400
PigArtPressure,cpu_optimised_hydra,42,104,208,2000,52,2.886656209011562,6.799359999999979,0.9855769230769231,0.9848595848595849,0.9848595848595849,ok,,2400
PigAirwayPressure,cpu_optimised_hydra,42,104,208,2000,52,2.8666034579800908,0.0,0.7740384615384616,0.7636544011544012,0.7636544011544012,ok,,2400
HandOutlines,cpu_optimised_hydra,42,1000,370,2709,2,16.578507083992008,-426.67212799999993,0.9486486486486486,0.9431574691732363,0.9481234053944788,ok,,2400
Rock,cpu_optimised_hydra,42,20,50,2844,4,0.8558820000034757,0.0,0.92,0.9193970503181029,0.9202955465587044,ok,,2400
SmoothSubspace,mps_hydra,42,150,150,15,3,0.024597750016255304,5.210111999999981,0.96,0.9599966663332999,0.9599966663332999,ok,,2600
MelbournePedestrian,mps_hydra,42,1138,2319,24,10,0.25544870799058117,36.30694399999993,0.9379042690815006,0.9350745396910408,0.9378198958893149,ok,,2600
ItalyPowerDemand,mps_hydra,42,67,1029,24,2,0.040449416992487386,9.256959999999935,0.967930029154519,0.9679295445422993,0.967929908001464,ok,,2600
Chinatown,mps_hydra,42,20,343,24,2,0.012598125002114102,4.669440000000122,0.9825072886297376,0.9784385214986171,0.9826711316014606,ok,,2600
Crop,mps_hydra,42,7200,16800,46,24,5.839220541995019,1321.12384,0.7358928571428571,0.728759630270725,0.728759630270725,ok,,2600
SyntheticControl,mps_hydra,42,300,300,60,6,0.11523983301594853,16.465920000000096,0.9633333333333334,0.9631591128634865,0.9631591128634863,ok,,2600
SwedishLeaf,mps_hydra,42,500,625,128,15,0.44240137498127297,54.65702400000009,0.976,0.9761072240505483,0.9758371471811459,ok,,2600
InsectWingbeatSound,mps_hydra,42,220,1980,256,11,1.4437397079891525,45.35091199999988,0.6540404040404041,0.6442568924846518,0.6442568924846518,ok,,2600
FaceFour,mps_hydra,42,24,88,350,4,0.16261274999123998,23.88787199999979,0.8522727272727273,0.8665487628902263,0.8464171330024987,ok,,2600
AllGestureWiimoteY,mps_hydra,42,300,700,500,10,1.5026680830051191,43.237375999999585,0.7114285714285714,0.7088331336306866,0.7088331336306865,ok,,2600
