dataset,model,seed,n_train,n_test,series_length,n_classes,total_time,peak_memory_mb,accuracy,f1_macro,f1_weighted,status,error_msg
ECGFiveDays,mpshydra,42,23,861,136,2,0.3628413750047912,68.55065599999989,1.0,1.0,1.0,ok,
ElectricDevices,mpshydra,42,8926,7711,96,7,11.211704583998653,1013.1537919999996,0.7419271171054338,0.6673054755999951,0.7283382955999304,ok,
EOGHorizontalSignal,mpshydra,42,362,362,1250,12,3.6553028329944937,-112.65638399999989,0.5773480662983426,0.5766435340643294,0.5752896845886436,ok,
EOGVerticalSignal,mpshydra,42,362,362,1250,12,3.5499679170025047,4.898815999999897,0.48342541436464087,0.45970172710491336,0.45850337876501496,ok,
EthanolLevel,mpshydra,42,504,500,1751,4,7.0621415420027915,85.44255999999996,0.58,0.5656514726023094,0.5654604681669118,ok,
FaceAll,mpshydra,42,560,1690,131,14,0.8816674590052571,16.367615999999998,0.9183431952662722,0.9253555054354565,0.9193799094782487,ok,
FaceFour,mpshydra,42,24,88,350,4,0.16461200000048848,51.16723200000024,0.8522727272727273,0.8665487628902263,0.8464171330024987,ok,
FacesUCR,mpshydra,42,200,2050,131,14,0.7183535000003758,32.57139199999983,0.9551219512195122,0.9407176536330965,0.954476593339638,ok,
FiftyWords,mpshydra,42,450,455,270,50,0.7598279999947408,55.164928000000145,0.8373626373626374,0.7211709734463138,0.8183233571066779,ok,
Fish,mpshydra,42,175,175,463,7,0.507099249996827,-1144.0128,0.9885714285714285,0.9888685782302804,0.9886784704657047,ok,
FordA,mpshydra,42,3601,1320,500,2,9.918625458005408,-985.6778239999999,0.9621212121212122,0.9620863970588236,0.9621229528743315,ok,
FordB,mpshydra,42,3636,810,500,2,9.420789791998686,438.2392319999999,0.8197530864197531,0.8196431294799451,0.8196871122558683,ok,
FreezerRegularTrain,mpshydra,42,150,2850,301,2,2.531711165996967,44.154879999999594,0.9978947368421053,0.9978947275112577,0.9978947275112576,ok,
FreezerSmallTrain,mpshydra,42,28,2850,301,2,2.4012143340005423,17.776640000000043,0.9129824561403509,0.9129700699785652,0.9129700699785651,ok,
Fungi,mpshydra,42,18,186,201,18,0.16651641600037692,45.219840000000204,1.0,1.0,1.0,ok,
GestureMidAirD1,mpshydra,42,208,130,360,26,0.4127077079974697,61.66937599999983,0.7461538461538462,0.7362829478214094,0.7362829478214094,ok,
GestureMidAirD2,mpshydra,42,208,130,360,26,0.35218187499413034,0.36044799999990573,0.676923076923077,0.6657016060862214,0.6657016060862214,ok,
GestureMidAirD3,mpshydra,42,208,130,360,26,0.35148579200176755,0.08192000000008193,0.47692307692307695,0.46213499263034863,0.4621349926303487,ok,
GesturePebbleZ1,mpshydra,42,132,172,455,6,0.4282044159990619,50.95424000000003,0.8837209302325582,0.879940996866583,0.8850737025736446,ok,
GesturePebbleZ2,mpshydra,42,146,158,455,6,0.3969108750025043,4.75135999999975,0.8924050632911392,0.8888759586942275,0.8909014724547841,ok,
GunPoint,mpshydra,42,50,150,150,2,0.13672608399792807,45.924352,1.0,1.0,1.0,ok,
GunPointAgeSpan,mpshydra,42,135,316,150,2,0.171111124996969,32.47308800000019,1.0,1.0,1.0,ok,
GunPointMaleVersusFemale,mpshydra,42,135,316,150,2,0.16984299999603536,0.21299199999975826,1.0,1.0,1.0,ok,
