dataset,model,seed,n_train,n_test,series_length,n_classes,total_time,peak_memory_mb,accuracy,f1_macro,f1_weighted,status,error_msg,sequence_length
GesturePebbleZ1,cpu_optimised_hydra,42,132,172,455,6,0.5432357079989742,0.03276800000003277,0.8837209302325582,0.879940996866583,0.8850737025736446,ok,,
GesturePebbleZ2,cpu_optimised_hydra,42,146,158,455,6,0.540626792004332,0.0,0.8924050632911392,0.8888759586942275,0.8909014724547841,ok,,
GunPoint,cpu_optimised_hydra,42,50,150,150,2,0.29900616698432714,3.0801919999998972,1.0,1.0,1.0,ok,,
GunPointAgeSpan,cpu_optimised_hydra,42,135,316,150,2,0.6501898329879623,0.0,1.0,1.0,1.0,ok,,
GunPointMaleVersusFemale,cpu_optimised_hydra,42,135,316,150,2,0.6506722499907482,0.0,1.0,1.0,1.0,ok,,
GunPointOldVersusYoung,cpu_optimised_hydra,42,136,315,150,2,0.6505684590083547,0.0,1.0,1.0,1.0,ok,,
Ham,cpu_optimised_hydra,42,109,105,431,2,0.3291504169756081,2.703359999999975,0.7142857142857143,0.7130102040816326,0.7135568513119532,ok,,
HandOutlines,cpu_optimised_hydra,42,1000,370,2709,2,18.014037874992937,-121.43820800000003,0.9486486486486486,0.9431574691732363,0.9481234053944788,ok,,
Haptics,cpu_optimised_hydra,42,155,308,1092,5,1.9683494170021731,14.630911999999853,0.5162337662337663,0.504783670016626,0.5062979575482867,ok,,
Herring,cpu_optimised_hydra,42,64,64,512,2,0.21470825001597404,0.0,0.734375,0.7262893081761006,0.7351100628930818,ok,,
HouseTwenty,cpu_optimised_hydra,42,40,119,2000,2,1.3730440830113366,0.0,0.9495798319327731,0.9482608695652174,0.9495798319327731,ok,,
InlineSkate,cpu_optimised_hydra,42,100,550,1882,7,5.364473957975861,67.09248000000002,0.4672727272727273,0.46762928807807536,0.4612665941521447,ok,,
InsectEPGRegularTrain,cpu_optimised_hydra,42,62,249,601,3,0.8005384169809986,0.016384000000016385,1.0,1.0,1.0,ok,,
InsectEPGSmallTrain,cpu_optimised_hydra,42,17,249,601,3,0.8777338750078343,0.0,1.0,1.0,1.0,ok,,
