dataset,model,seed,n_train,n_test,series_length,n_classes,total_time,peak_memory_mb,accuracy,f1_macro,f1_weighted,status,error_msg,sequence_length
SmoothSubspace,mps_hydra,42,150,150,15,3,0.044577374996151775,11.796479999999974,0.96,0.9599966663332999,0.9599966663332999,ok,,
SonyAIBORobotSurface1,mps_hydra,42,20,601,70,2,0.16521391601418145,39.04307199999994,0.9201331114808652,0.9198292536517041,0.9205273054213986,ok,,
SonyAIBORobotSurface2,mps_hydra,42,27,953,65,2,0.3396709169901442,42.827776000000085,0.9412381951731374,0.9385025259043475,0.9415376216602688,ok,,
StarLightCurves,mps_hydra,42,1000,8236,1024,3,31.15220674997545,-70.63142400000015,0.9814230208839242,0.9717983127820814,0.9810253781079795,ok,,
Strawberry,mps_hydra,42,613,370,235,2,0.8218033750017639,-77.1686400000001,0.9756756756756757,0.9737172353372955,0.9757726281676746,ok,,
SwedishLeaf,mps_hydra,42,500,625,128,15,0.3269057500001509,36.02841600000011,0.976,0.9761072240505483,0.9758371471811459,ok,,
Symbols,mps_hydra,42,25,995,398,6,1.3604243340087123,33.5216640000001,0.978894472361809,0.9792164935978702,0.9789965909862184,ok,,
SyntheticControl,mps_hydra,42,300,300,60,6,0.11862666698289104,23.445504000000028,0.9633333333333334,0.9631591128634865,0.9631591128634863,ok,,
ToeSegmentation1,mps_hydra,42,40,228,277,2,0.3104265839792788,16.79359999999997,0.956140350877193,0.9561369757599076,0.9561572264636197,ok,,
ToeSegmentation2,mps_hydra,42,36,130,343,2,0.25295987498247996,48.21811200000002,0.8923076923076924,0.8317307692307692,0.8954142011834318,ok,,
Trace,mps_hydra,42,100,100,275,4,0.2013779999979306,35.79903999999988,1.0,1.0,1.0,ok,,
TwoLeadECG,mps_hydra,42,23,1139,82,2,0.27886587497778237,42.18880000000013,0.9991220368744512,0.9991220368744512,0.9991220368744512,ok,,
TwoPatterns,mps_hydra,42,1000,4000,128,4,1.330814624991035,204.47231999999985,0.98575,0.9857673090976363,0.985735720936935,ok,,
UMD,mps_hydra,42,36,144,150,3,0.11454979100381024,39.534591999999975,0.9861111111111112,0.9861103575088924,0.9861103575088924,ok,,
UWaveGestureLibraryAll,mps_hydra,42,896,3582,945,8,13.809277916996507,-178.35622399999988,0.9706867671691792,0.9704431819125272,0.9706139608666576,ok,,
